,ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MaxDelq2PublicRecLast12M,MaxDelqEver,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
0,65.0,165.0,9.0,69.0,21.0,1.0,1.0,86.0,3.0,5.0,43.0,1.0,60.0,0.0,0.0,31.0,9.0,4.0,1.0,83.0,0.0
1,69.0,153.0,4.0,54.0,20.0,1.0,1.0,86.0,4.0,2.0,21.0,2.0,45.0,3.0,3.0,31.0,1.0,3.0,1.0,100.0,1.0
2,77.0,153.0,8.0,72.0,28.0,0.0,0.0,100.0,7.0,8.0,29.0,2.0,27.0,0.0,0.0,36.0,4.0,4.0,1.0,45.0,0.0
3,68.0,165.0,8.0,76.0,9.0,0.0,0.0,97.0,6.0,6.0,9.0,1.0,27.0,0.0,0.0,54.0,2.0,2.0,1.0,50.0,0.0
4,87.0,172.0,2.0,62.0,16.0,0.0,0.0,100.0,7.0,8.0,16.0,3.0,38.0,1.0,1.0,0.0,0.0,2.0,0.0,33.0,1.0
5,79.0,206.0,15.0,80.0,25.0,0.0,0.0,88.0,6.0,6.0,28.0,0.0,37.0,0.0,0.0,27.0,7.0,4.0,0.0,64.0,0.0
6,69.0,199.0,6.0,83.0,16.0,1.0,1.0,91.0,4.0,6.0,17.0,4.0,43.0,0.0,0.0,9.0,6.0,1.0,0.0,92.0,0.0
7,78.0,125.0,1.0,54.0,13.0,0.0,0.0,98.0,6.0,6.0,13.0,4.0,31.0,3.0,3.0,4.0,1.0,2.0,0.0,50.0,1.0
8,82.0,166.0,8.0,65.0,12.0,0.0,0.0,100.0,7.0,8.0,12.0,2.0,15.0,1.0,1.0,13.0,2.0,1.0,0.0,80.0,1.0
9,76.0,161.0,2.0,89.0,16.0,0.0,0.0,92.0,6.0,6.0,17.0,3.0,24.0,0.0,0.0,3.0,3.0,1.0,1.0,20.0,1.0
10,81.0,134.0,12.0,63.0,16.0,0.0,0.0,100.0,6.0,7.0,0.0,0.0,50.0,1.0,1.0,2.0,4.0,1.0,0.0,33.0,0.0
11,84.0,192.0,7.0,68.0,8.0,0.0,0.0,100.0,7.0,8.0,8.0,2.0,8.0,0.0,0.0,13.0,2.0,2.0,0.0,67.0,1.0
